Topics,Labels,Groups,Terms
10,Information Retrieval & Data Mining,NLP*,"0.069*""pattern"" + 0.047*""query"" + 0.038*""search"" + 0.033*""retrieval"" + 0.030*""question"" + 0.025*""database"" + 0.024*""mining"" + 0.021*""algorithm"" + 0.021*""answer"" + 0.018*""matching"" + 0.016*""candidate"" + 0.012*""match"" + 0.011*""find"" + 0.011*""set"" + 0.010*""retrieve"" + 0.009*""discover"" + 0.008*""association_rule"" + 0.008*""large"" + 0.007*""mine"" + 0.007*""show"""
11,Image Processing and Resolution,CV,"0.035*""surface"" + 0.026*""resolution"" + 0.026*""image"" + 0.022*""color"" + 0.019*""light"" + 0.017*""high"" + 0.016*""curve"" + 0.014*""wavelet"" + 0.012*""low"" + 0.012*""intensity"" + 0.010*""reconstruction"" + 0.009*""distortion"" + 0.008*""component"" + 0.008*""diffusion"" + 0.008*""map"" + 0.007*""show"" + 0.007*""orientation"" + 0.007*""spatial"" + 0.007*""technique"" + 0.007*""present"""
12,Relational Data and Entity Relationships,Statistics,"0.147*""group"" + 0.142*""relation"" + 0.066*""entity"" + 0.056*""link"" + 0.031*""knowledge"" + 0.026*""type"" + 0.025*""relational"" + 0.013*""heterogeneous"" + 0.009*""individual"" + 0.009*""mention"" + 0.008*""triple"" + 0.008*""extraction"" + 0.008*""member"" + 0.008*""relationship"" + 0.007*""collective"" + 0.007*""exist"" + 0.007*""model"" + 0.006*""grouping"" + 0.006*""fact"" + 0.006*""pair"""
13,Failure Diagnosis and Causal Effects,Fault,"0.077*""fault"" + 0.065*""effect"" + 0.043*""variable"" + 0.038*""failure"" + 0.035*""causal"" + 0.031*""condition"" + 0.029*""shift"" + 0.025*""cause"" + 0.022*""fault_diagnosis"" + 0.016*""component"" + 0.013*""degradation"" + 0.013*""identify"" + 0.010*""intervention"" + 0.009*""process"" + 0.008*""survival"" + 0.008*""exemplar"" + 0.008*""compound"" + 0.008*""residual"" + 0.006*""relationship"" + 0.006*""case"""
14,Medical Diagnosis and Patient Health,Med,"0.033*""diagnosis"" + 0.032*""patient"" + 0.031*""medical"" + 0.028*""disease"" + 0.015*""clinical"" + 0.014*""treatment"" + 0.013*""defect"" + 0.012*""study"" + 0.011*""system"" + 0.010*""accuracy"" + 0.010*""health"" + 0.010*""early"" + 0.009*""covid"" + 0.008*""diagnostic"" + 0.008*""identify"" + 0.008*""risk"" + 0.007*""analysis"" + 0.007*""cancer"" + 0.007*""case"" + 0.007*""diagnose"""
15,Neural Network and Synaptic Functioning,DL,"0.066*""neuron"" + 0.029*""spike"" + 0.027*""mechanism"" + 0.027*""unit"" + 0.025*""channel"" + 0.023*""threshold"" + 0.014*""synaptic"" + 0.014*""input"" + 0.012*""right_reserve"" + 0.012*""connection"" + 0.012*""show"" + 0.009*""fire"" + 0.008*""wave"" + 0.008*""allocation"" + 0.008*""property"" + 0.008*""simulation"" + 0.007*""coupling"" + 0.007*""dynamic"" + 0.007*""study"" + 0.006*""ordinal"""
16,Time Series Forecasting and Prediction Modeling,Statistics (TS),"0.108*""prediction"" + 0.070*""time"" + 0.052*""series"" + 0.043*""model"" + 0.033*""predict"" + 0.025*""forecasting"" + 0.014*""forecast"" + 0.014*""accuracy"" + 0.014*""datum"" + 0.010*""term"" + 0.008*""future"" + 0.008*""accurate"" + 0.008*""predictor"" + 0.008*""predictive"" + 0.007*""right_reserve"" + 0.006*""improve"" + 0.006*""hybrid"" + 0.006*""show"" + 0.006*""compare"" + 0.006*""study"""
17,Camera Tracking and Motion Estimation,CV,"0.026*""camera"" + 0.019*""tracking"" + 0.017*""point"" + 0.017*""depth"" + 0.016*""image"" + 0.016*""estimation"" + 0.014*""scene"" + 0.014*""motion"" + 0.014*""estimate"" + 0.011*""track"" + 0.010*""correspondence"" + 0.010*""present"" + 0.009*""object"" + 0.009*""real"" + 0.009*""view"" + 0.008*""reconstruction"" + 0.008*""show"" + 0.008*""algorithm"" + 0.007*""problem"" + 0.006*""registration"""
18,Bias and Evidence Analysis,Statistics,"0.072*""bias"" + 0.063*""evidence"" + 0.036*""hypothesis"" + 0.025*""explanation"" + 0.021*""argument"" + 0.018*""fairness"" + 0.018*""claim"" + 0.011*""fair"" + 0.011*""shadow"" + 0.011*""explain"" + 0.010*""biased"" + 0.008*""support"" + 0.008*""crack"" + 0.007*""lane"" + 0.007*""piece"" + 0.006*""individual"" + 0.006*""conflict"" + 0.006*""spurious"" + 0.006*""suggest"" + 0.006*""such"""
19,Game Theory and Strategic Behavior,Decision Making,"0.102*""strategy"" + 0.074*""game"" + 0.027*""play"" + 0.026*""player"" + 0.023*""equilibrium"" + 0.018*""role"" + 0.016*""cooperative"" + 0.016*""symmetry"" + 0.015*""team"" + 0.014*""competition"" + 0.013*""drug"" + 0.012*""formation"" + 0.008*""utility"" + 0.008*""cooperation"" + 0.007*""show"" + 0.007*""negotiation"" + 0.007*""strategic"" + 0.007*""form"" + 0.007*""sum"" + 0.006*""outcome"""
20,Facial Recognition & Identification,CV,"0.106*""face"" + 0.077*""recognition"" + 0.033*""image"" + 0.024*""identification"" + 0.023*""person"" + 0.022*""database"" + 0.021*""facial"" + 0.017*""variation"" + 0.012*""expression"" + 0.012*""identity"" + 0.012*""age"" + 0.010*""system"" + 0.010*""facial_expression"" + 0.009*""verification"" + 0.009*""performance"" + 0.008*""biometric"" + 0.008*""illumination"" + 0.008*""landmark"" + 0.007*""eye"" + 0.007*""appearance"""
21,Computational Efficiency & Performance,Complexity,"0.033*""time"" + 0.028*""large"" + 0.022*""computational"" + 0.020*""scale"" + 0.019*""reduce"" + 0.019*""high"" + 0.019*""cost"" + 0.017*""accuracy"" + 0.016*""fast"" + 0.014*""complexity"" + 0.014*""efficient"" + 0.014*""number"" + 0.013*""computation"" + 0.012*""performance"" + 0.012*""efficiency"" + 0.011*""size"" + 0.011*""low"" + 0.011*""achieve"" + 0.010*""speed"" + 0.009*""small"""
22,Shape and Gesture Recognition,CV,"0.072*""shape"" + 0.050*""recognition"" + 0.019*""hand"" + 0.019*""body"" + 0.019*""line"" + 0.016*""character"" + 0.016*""descriptor"" + 0.015*""system"" + 0.015*""pattern"" + 0.013*""template"" + 0.011*""recognize"" + 0.011*""contour"" + 0.010*""present"" + 0.009*""movement"" + 0.009*""gesture"" + 0.009*""part"" + 0.009*""signature"" + 0.009*""human"" + 0.008*""gait"" + 0.006*""joint"""
23,Semantic Word Embeddings in NLP,NLP,"0.081*""word"" + 0.081*""semantic"" + 0.030*""sentence"" + 0.026*""embedding"" + 0.024*""representation"" + 0.015*""embed"" + 0.012*""natural_language"" + 0.012*""show"" + 0.011*""language"" + 0.011*""model"" + 0.011*""task"" + 0.010*""context"" + 0.010*""vector"" + 0.009*""level"" + 0.009*""parse"" + 0.008*""meaning"" + 0.008*""syntactic"" + 0.008*""phrase"" + 0.007*""linguistic"" + 0.007*""learn"""
24,Reinforcement Learning and Robotics,RL,"0.072*""agent"" + 0.041*""policy"" + 0.032*""environment"" + 0.027*""learning"" + 0.027*""robot"" + 0.026*""state"" + 0.024*""reinforcement"" + 0.024*""action"" + 0.020*""learn"" + 0.018*""reward"" + 0.012*""task"" + 0.011*""multi"" + 0.010*""goal"" + 0.010*""dynamic"" + 0.008*""control"" + 0.008*""algorithm"" + 0.008*""behavior"" + 0.007*""exploration"" + 0.007*""function"" + 0.007*""show"""
25,Human Attributes & Interactions,RL*,"0.136*""human"" + 0.100*""attribute"" + 0.058*""cell"" + 0.055*""interaction"" + 0.051*""behavior"" + 0.021*""cognitive"" + 0.017*""perception"" + 0.009*""animal"" + 0.008*""behavioral"" + 0.006*""attractor"" + 0.006*""interact"" + 0.006*""computer"" + 0.006*""like"" + 0.006*""loop"" + 0.006*""cognition"" + 0.006*""understand"" + 0.006*""computational"" + 0.005*""study"" + 0.005*""cellular"" + 0.005*""theory"""
26,Deep Neural Networks,DL,"0.235*""network"" + 0.128*""neural"" + 0.033*""layer"" + 0.021*""architecture"" + 0.020*""deep"" + 0.017*""train"" + 0.016*""input"" + 0.015*""training"" + 0.015*""weight"" + 0.014*""convolutional"" + 0.011*""output"" + 0.009*""recurrent"" + 0.009*""function"" + 0.009*""activation"" + 0.008*""learning"" + 0.008*""structure"" + 0.007*""show"" + 0.007*""right_reserve"" + 0.007*""artificial"" + 0.006*""parameter"""
27,Expert Systems & Design,ES,"0.064*""system"" + 0.051*""knowledge"" + 0.022*""design"" + 0.019*""process"" + 0.017*""expert"" + 0.013*""present"" + 0.011*""provide"" + 0.011*""support"" + 0.010*""case"" + 0.009*""describe"" + 0.009*""reasoning"" + 0.009*""software"" + 0.009*""right_reserve"" + 0.009*""tool"" + 0.008*""application"" + 0.008*""concept"" + 0.008*""ontology"" + 0.008*""framework"" + 0.008*""develop"" + 0.007*""domain"""
28,Regression Analysis & Modeling,Statistics,"0.034*""error"" + 0.033*""regression"" + 0.025*""model"" + 0.021*""test"" + 0.018*""parameter"" + 0.015*""performance"" + 0.014*""estimate"" + 0.014*""study"" + 0.013*""value"" + 0.012*""estimation"" + 0.011*""datum"" + 0.011*""predict"" + 0.010*""input"" + 0.010*""obtain"" + 0.010*""analysis"" + 0.009*""process"" + 0.009*""variable"" + 0.009*""compare"" + 0.008*""measurement"" + 0.008*""output"""
29,Information Imputation and Completion,ML,"0.473*""information"" + 0.037*""miss"" + 0.025*""mutual"" + 0.023*""incomplete"" + 0.019*""side"" + 0.010*""granularity"" + 0.010*""granular"" + 0.010*""complete"" + 0.009*""granule"" + 0.009*""imputation"" + 0.008*""contain"" + 0.008*""theoretic"" + 0.006*""missing"" + 0.006*""extract"" + 0.005*""patent"" + 0.005*""way"" + 0.005*""useful"" + 0.004*""available"" + 0.004*""value"" + 0.004*""structural"""
30,Constraint Planning & Logic,*,"0.019*""constraint"" + 0.018*""path"" + 0.014*""show"" + 0.014*""set"" + 0.012*""property"" + 0.012*""give"" + 0.010*""program"" + 0.009*""order"" + 0.009*""problem"" + 0.009*""planning"" + 0.008*""define"" + 0.008*""introduce"" + 0.008*""first"" + 0.007*""allow"" + 0.007*""logic"" + 0.007*""plan"" + 0.007*""present"" + 0.007*""such"" + 0.007*""notion"" + 0.007*""new"""
31,Feature Extraction & Selection,ML,"0.354*""feature"" + 0.043*""extract"" + 0.042*""selection"" + 0.034*""extraction"" + 0.015*""select"" + 0.011*""right_reserve"" + 0.010*""high"" + 0.009*""vector"" + 0.008*""then"" + 0.007*""experimental"" + 0.006*""accuracy"" + 0.006*""analysis"" + 0.006*""classification"" + 0.006*""obtain"" + 0.006*""finally"" + 0.006*""important"" + 0.005*""filter"" + 0.005*""relevant"" + 0.005*""performance"" + 0.005*""effective"""
32,Adversarial Generative Modeling,DL,"0.037*""generate"" + 0.033*""model"" + 0.024*""generation"" + 0.021*""adversarial"" + 0.018*""training"" + 0.015*""input"" + 0.015*""train"" + 0.014*""generative"" + 0.012*""latent"" + 0.011*""show"" + 0.011*""dataset"" + 0.010*""generator"" + 0.010*""example"" + 0.010*""style"" + 0.009*""quality"" + 0.008*""synthesis"" + 0.007*""perturbation"" + 0.007*""synthesize"" + 0.007*""deep"" + 0.007*""distribution"""
33,Sentiment and Emotion Analysis,NLP,"0.027*""model"" + 0.026*""dataset"" + 0.024*""sentiment"" + 0.021*""emotion"" + 0.018*""task"" + 0.013*""aspect"" + 0.012*""human"" + 0.011*""analysis"" + 0.011*""evaluation"" + 0.010*""dialogue"" + 0.009*""opinion"" + 0.009*""response"" + 0.009*""show"" + 0.009*""multimodal"" + 0.008*""baseline"" + 0.008*""emotional"" + 0.007*""generate"" + 0.007*""system"" + 0.006*""well"" + 0.006*""conversation"""
34,Probabilistic Modeling & Inference,Statistics,"0.398*""model"" + 0.018*""parameter"" + 0.018*""process"" + 0.017*""modeling"" + 0.013*""inference"" + 0.012*""variable"" + 0.010*""probabilistic"" + 0.008*""latent"" + 0.008*""structure"" + 0.007*""dynamic"" + 0.007*""mixture"" + 0.007*""complex"" + 0.006*""develop"" + 0.006*""present"" + 0.005*""demonstrate"" + 0.005*""component"" + 0.005*""datum"" + 0.005*""bayesian"" + 0.005*""show"" + 0.005*""predictive"""
35,Social Recommendation Systems,Recommendation,"0.108*""user"" + 0.030*""recommendation"" + 0.030*""item"" + 0.029*""social"" + 0.019*""system"" + 0.012*""preference"" + 0.012*""online"" + 0.011*""information"" + 0.010*""rating"" + 0.009*""model"" + 0.009*""recommend"" + 0.008*""trust"" + 0.008*""interest"" + 0.007*""interaction"" + 0.007*""right_reserve"" + 0.006*""tag"" + 0.006*""profile"" + 0.006*""behavior"" + 0.006*""product"" + 0.006*""recommender"""
36,Classification & Performance,ML,"0.084*""classification"" + 0.048*""classifier"" + 0.025*""machine"" + 0.024*""accuracy"" + 0.024*""performance"" + 0.020*""dataset"" + 0.018*""algorithm"" + 0.018*""ensemble"" + 0.016*""set"" + 0.015*""learning"" + 0.012*""technique"" + 0.012*""well"" + 0.011*""support_vector"" + 0.011*""show"" + 0.010*""training"" + 0.010*""right_reserve"" + 0.010*""compare"" + 0.009*""other"" + 0.009*""improve"" + 0.009*""classify"""
37,Multi-Dimensional Data Representation,Statistics,"0.054*""space"" + 0.050*""representation"" + 0.043*""view"" + 0.032*""dimensional"" + 0.022*""sparse"" + 0.019*""datum"" + 0.018*""subspace"" + 0.016*""structure"" + 0.015*""manifold"" + 0.015*""low"" + 0.015*""learn"" + 0.014*""vector"" + 0.013*""projection"" + 0.011*""high"" + 0.011*""embed"" + 0.011*""multi"" + 0.010*""local"" + 0.010*""transformation"" + 0.009*""dictionary"" + 0.009*""dimension"""
38,Robust Denoising,Statistics,"0.126*""noise"" + 0.071*""loss"" + 0.059*""robust"" + 0.036*""noisy"" + 0.032*""robustness"" + 0.031*""outlier"" + 0.024*""function"" + 0.012*""performance"" + 0.010*""margin"" + 0.009*""denoising"" + 0.008*""prototype"" + 0.008*""sensitive"" + 0.008*""remove"" + 0.008*""however"" + 0.007*""presence"" + 0.007*""improve"" + 0.007*""clean"" + 0.006*""experiment"" + 0.006*""effect"" + 0.006*""show"""
39,Data Clustering & Segmentation,ML,"0.116*""cluster"" + 0.069*""clustering"" + 0.063*""algorithm"" + 0.025*""datum"" + 0.023*""partition"" + 0.021*""point"" + 0.018*""center"" + 0.017*""mean"" + 0.014*""number"" + 0.014*""set"" + 0.011*""dataset"" + 0.011*""density"" + 0.009*""right_reserve"" + 0.009*""new"" + 0.008*""data"" + 0.007*""well"" + 0.007*""hierarchical"" + 0.007*""unsupervised"" + 0.006*""self_organize"" + 0.006*""obtain"""
40,Image Partitioning & Texture Analysis,CV,"0.232*""image"" + 0.055*""segmentation"" + 0.032*""region"" + 0.015*""pixel"" + 0.014*""texture"" + 0.013*""segment"" + 0.011*""patch"" + 0.011*""local"" + 0.009*""level"" + 0.008*""quality"" + 0.007*""color"" + 0.007*""boundary"" + 0.006*""present"" + 0.006*""edge"" + 0.006*""spatial"" + 0.006*""well"" + 0.006*""technique"" + 0.006*""show"" + 0.006*""algorithm"" + 0.005*""processing"""
41,Decision Making & Evaluation,Decision Making,"0.064*""decision"" + 0.034*""criterion"" + 0.023*""make"" + 0.016*""preference"" + 0.016*""selection"" + 0.016*""evaluation"" + 0.016*""model"" + 0.015*""process"" + 0.013*""alternative"" + 0.012*""decision_making"" + 0.010*""right_reserve"" + 0.010*""expert"" + 0.010*""decision_maker"" + 0.009*""linguistic"" + 0.009*""study"" + 0.009*""consensus"" + 0.009*""project"" + 0.009*""assessment"" + 0.009*""multi"" + 0.009*""problem"""
42,Speech & Language Processing,NLP,"0.063*""language"" + 0.047*""code"" + 0.038*""translation"" + 0.033*""model"" + 0.032*""speech"" + 0.023*""pre"" + 0.019*""train"" + 0.015*""task"" + 0.014*""source"" + 0.014*""audio"" + 0.012*""sign"" + 0.011*""sound"" + 0.011*""machine"" + 0.011*""show"" + 0.011*""training"" + 0.011*""resource"" + 0.010*""speaker"" + 0.010*""performance"" + 0.009*""system"" + 0.007*""pretraine"""
43,Domain Adaptation & Transfer Learning,ML*,"0.233*""domain"" + 0.172*""target"" + 0.085*""source"" + 0.053*""transfer"" + 0.051*""adaptation"" + 0.030*""cross"" + 0.024*""alignment"" + 0.016*""knowledge"" + 0.015*""distribution"" + 0.009*""align"" + 0.008*""discrepancy"" + 0.007*""specific"" + 0.007*""multiple"" + 0.007*""shift"" + 0.006*""adapt"" + 0.005*""invariant"" + 0.005*""unsupervised"" + 0.005*""experiment"" + 0.005*""exist"" + 0.004*""datum"""
44,Semi-Supervised Data Annotation,ML,"0.151*""label"" + 0.031*""datum"" + 0.023*""training"" + 0.021*""semi_supervised"" + 0.021*""annotation"" + 0.021*""dataset"" + 0.020*""unlabeled"" + 0.017*""learning"" + 0.017*""multi"" + 0.014*""supervised"" + 0.014*""labeling"" + 0.012*""instance"" + 0.012*""classification"" + 0.012*""train"" + 0.011*""pseudo"" + 0.010*""large"" + 0.009*""model"" + 0.009*""set"" + 0.008*""annotate"" + 0.008*""problem"""
45,Modeling with Attention Mechanisms,DL,"0.074*""sequence"" + 0.062*""attention"" + 0.039*""model"" + 0.038*""long"" + 0.036*""memory"" + 0.031*""term"" + 0.029*""dependency"" + 0.023*""context"" + 0.022*""mechanism"" + 0.020*""short"" + 0.018*""task"" + 0.015*""self"" + 0.013*""sequential"" + 0.009*""capture"" + 0.008*""show"" + 0.008*""input"" + 0.008*""encoding"" + 0.008*""recurrent"" + 0.008*""state_art"" + 0.007*""transformer"""
46,Deep Learning,DL,"0.096*""learning"" + 0.054*""learn"" + 0.051*""task"" + 0.024*""training"" + 0.023*""deep"" + 0.018*""performance"" + 0.017*""model"" + 0.014*""train"" + 0.013*""dataset"" + 0.011*""new"" + 0.010*""show"" + 0.010*""framework"" + 0.010*""state_art"" + 0.009*""machine"" + 0.008*""datum"" + 0.008*""well"" + 0.008*""representation"" + 0.008*""problem"" + 0.007*""improve"" + 0.007*""generalization"""
47,Signal Processing,Signal Processing*,"0.076*""signal"" + 0.033*""phase"" + 0.028*""brain"" + 0.025*""frequency"" + 0.024*""activity"" + 0.018*""right_reserve"" + 0.017*""response"" + 0.014*""circuit"" + 0.014*""pattern"" + 0.013*""change"" + 0.012*""study"" + 0.012*""processing"" + 0.012*""stimulus"" + 0.012*""subject"" + 0.011*""time"" + 0.010*""functional"" + 0.008*""analysis"" + 0.007*""state"" + 0.007*""motor"" + 0.006*""ad"""
48,Video Action Recognition,CV,"0.114*""video"" + 0.061*""temporal"" + 0.046*""action"" + 0.044*""frame"" + 0.043*""motion"" + 0.031*""dynamic"" + 0.027*""spatial"" + 0.025*""sequence"" + 0.019*""activity"" + 0.016*""human"" + 0.015*""recognition"" + 0.015*""time"" + 0.011*""spatio_temporal"" + 0.011*""event"" + 0.010*""dataset"" + 0.009*""capture"" + 0.009*""spatiotemporal"" + 0.008*""static"" + 0.006*""surveillance"" + 0.006*""stream"""
49,Document Summarization,NLP,"0.087*""document"" + 0.086*""topic"" + 0.048*""content"" + 0.027*""web"" + 0.020*""summary"" + 0.019*""summarization"" + 0.015*""term"" + 0.015*""collection"" + 0.013*""relevance"" + 0.011*""news"" + 0.010*""information"" + 0.010*""generate"" + 0.010*""categorization"" + 0.010*""keyword"" + 0.009*""extract"" + 0.009*""page"" + 0.008*""article"" + 0.007*""coherence"" + 0.007*""textual"" + 0.007*""show"""
50,Similarity Measures and Rankings,Biostatistics*,"0.104*""measure"" + 0.095*""similarity"" + 0.071*""metric"" + 0.032*""correlation"" + 0.031*""rank"" + 0.018*""pair"" + 0.017*""gene"" + 0.017*""ranking"" + 0.016*""pairwise"" + 0.015*""score"" + 0.013*""hash"" + 0.011*""compare"" + 0.010*""function"" + 0.009*""protein"" + 0.008*""comparison"" + 0.008*""similar"" + 0.007*""retrieval"" + 0.007*""compute"" + 0.007*""performance"" + 0.006*""exist"""
51,Research and Development Trends,RD,"0.029*""research"" + 0.022*""study"" + 0.017*""analysis"" + 0.015*""application"" + 0.013*""technique"" + 0.012*""provide"" + 0.011*""development"" + 0.009*""review"" + 0.008*""product"" + 0.008*""technology"" + 0.008*""area"" + 0.008*""important"" + 0.008*""most"" + 0.007*""literature"" + 0.007*""many"" + 0.007*""present"" + 0.007*""right_reserve"" + 0.007*""more"" + 0.007*""such"" + 0.007*""discuss"""
52,Fuzzy Logic Systems,Fuzzy,"0.223*""fuzzy"" + 0.103*""rule"" + 0.086*""system"" + 0.021*""function"" + 0.020*""logic"" + 0.019*""input"" + 0.019*""membership"" + 0.018*""output"" + 0.011*""set"" + 0.010*""inference"" + 0.009*""present"" + 0.009*""structure"" + 0.009*""design"" + 0.009*""variable"" + 0.008*""parameter"" + 0.006*""type"" + 0.006*""new"" + 0.006*""identification"" + 0.006*""performance"" + 0.006*""nonlinear"""
53,Fuzzy Value & Set Theory,Fuzzy,"0.054*""value"" + 0.047*""set"" + 0.025*""weight"" + 0.023*""interval"" + 0.022*""uncertainty"" + 0.016*""fuzzy"" + 0.015*""theory"" + 0.015*""operator"" + 0.015*""new"" + 0.013*""number"" + 0.012*""rough"" + 0.011*""function"" + 0.010*""concept"" + 0.010*""degree"" + 0.010*""measure"" + 0.009*""entropy"" + 0.009*""uncertain"" + 0.008*""introduce"" + 0.008*""problem"" + 0.008*""example"""
54,Linear and Nonlinear Optimization,Optim,"0.039*""function"" + 0.034*""matrix"" + 0.021*""linear"" + 0.020*""problem"" + 0.014*""non"" + 0.012*""show"" + 0.011*""convex"" + 0.011*""norm"" + 0.010*""approximation"" + 0.009*""solve"" + 0.009*""regularization"" + 0.009*""analysis"" + 0.009*""tensor"" + 0.008*""optimization"" + 0.008*""solution"" + 0.008*""rank"" + 0.007*""equation"" + 0.007*""point"" + 0.007*""theoretical"" + 0.007*""order"""
55,Financial Markets & Risks,Fin,"0.035*""risk"" + 0.031*""market"" + 0.028*""student"" + 0.027*""financial"" + 0.025*""price"" + 0.018*""index"" + 0.018*""return"" + 0.018*""stock"" + 0.017*""portfolio"" + 0.016*""model"" + 0.015*""teacher"" + 0.014*""learner"" + 0.013*""trading"" + 0.012*""investment"" + 0.011*""profit"" + 0.010*""bank"" + 0.010*""strategy"" + 0.010*""company"" + 0.010*""performance"" + 0.010*""study"""
56,Adaptive optimization algorithms,Optim,"0.090*""algorithm"" + 0.051*""parameter"" + 0.030*""rate"" + 0.028*""filter"" + 0.027*""convergence"" + 0.023*""gradient"" + 0.019*""update"" + 0.018*""adaptive"" + 0.016*""step"" + 0.015*""stochastic"" + 0.012*""iteration"" + 0.011*""online"" + 0.011*""optimization"" + 0.011*""optimal"" + 0.010*""fast"" + 0.010*""error"" + 0.009*""learning"" + 0.008*""show"" + 0.008*""weight"" + 0.008*""iterative"""
