Topics,Labels,Terms
Topic 11,,"0.205*""problem"" + 0.085*""solve"" + 0.062*""constraint"" + 0.051*""solution"" + 0.024*""optimization"" + 0.011*""formulation"" + 0.011*""formulate"" + 0.011*""programming"" + 0.009*""constrain"" + 0.008*""many"" + 0.008*""hard"" + 0.008*""solver"" + 0.008*""linear"" + 0.007*""paper"" + 0.006*""assignment"" + 0.006*""framework"" + 0.006*""address"" + 0.005*""variable"" + 0.005*""general"" + 0.005*""exist"""
Topic 12,,"0.118*""user"" + 0.032*""item"" + 0.031*""recommendation"" + 0.022*""social"" + 0.019*""system"" + 0.015*""preference"" + 0.010*""rating"" + 0.010*""trust"" + 0.010*""recommend"" + 0.009*""interaction"" + 0.009*""online"" + 0.008*""method"" + 0.008*""interest"" + 0.008*""result"" + 0.007*""behavior"" + 0.006*""paper"" + 0.006*""dataset"" + 0.006*""profile"" + 0.006*""right_reserve"" + 0.006*""provide"""
Topic 13,,"0.161*""sequence"" + 0.072*""cell"" + 0.030*""gene"" + 0.020*""protein"" + 0.017*""biological"" + 0.016*""length"" + 0.013*""string"" + 0.012*""structure"" + 0.011*""interaction"" + 0.010*""gene_expression"" + 0.008*""site"" + 0.007*""compound"" + 0.007*""molecular"" + 0.007*""cancer"" + 0.007*""marker"" + 0.007*""identify"" + 0.007*""cellular"" + 0.006*""specie"" + 0.005*""molecule"" + 0.005*""prediction"""
Topic 14,,"0.044*""algorithm"" + 0.031*""method"" + 0.030*""convergence"" + 0.029*""gradient"" + 0.020*""optimization"" + 0.019*""rate"" + 0.014*""stochastic"" + 0.014*""function"" + 0.013*""non"" + 0.012*""iteration"" + 0.012*""convex"" + 0.012*""step"" + 0.011*""update"" + 0.010*""fast"" + 0.009*""converge"" + 0.008*""loss"" + 0.008*""result"" + 0.007*""first"" + 0.007*""batch"" + 0.007*""iterative"""
Topic 15,,"0.319*""fuzzy"" + 0.049*""rule"" + 0.044*""system"" + 0.025*""logic"" + 0.018*""function"" + 0.018*""set"" + 0.017*""method"" + 0.016*""paper"" + 0.015*""number"" + 0.015*""input"" + 0.012*""variable"" + 0.012*""inference"" + 0.012*""interval"" + 0.012*""parameter"" + 0.011*""present"" + 0.010*""type"" + 0.009*""new"" + 0.008*""modeling"" + 0.008*""structure"" + 0.007*""value"""
Topic 16,,"0.033*""attention"" + 0.025*""multi"" + 0.023*""method"" + 0.020*""module"" + 0.014*""fusion"" + 0.014*""dataset"" + 0.014*""level"" + 0.013*""network"" + 0.012*""local"" + 0.011*""state_art"" + 0.011*""different"" + 0.011*""mechanism"" + 0.011*""scale"" + 0.011*""achieve"" + 0.010*""result"" + 0.010*""global"" + 0.009*""design"" + 0.008*""however"" + 0.008*""deep"" + 0.008*""block"""
Topic 17,,"0.049*""method"" + 0.025*""accuracy"" + 0.024*""result"" + 0.023*""selection"" + 0.013*""machine"" + 0.012*""technique"" + 0.012*""test"" + 0.012*""right_reserve"" + 0.012*""ensemble"" + 0.012*""high"" + 0.012*""select"" + 0.012*""compare"" + 0.011*""obtain"" + 0.011*""classification"" + 0.011*""datum"" + 0.010*""stage"" + 0.010*""study"" + 0.010*""dataset"" + 0.010*""different"" + 0.009*""rate"""
Topic 18,,"0.075*""label"" + 0.055*""datum"" + 0.042*""training"" + 0.022*""method"" + 0.021*""dataset"" + 0.020*""instance"" + 0.016*""learn"" + 0.014*""supervised"" + 0.014*""train"" + 0.013*""sample"" + 0.012*""large"" + 0.011*""semi_supervised"" + 0.010*""annotation"" + 0.010*""unlabeled"" + 0.010*""set"" + 0.010*""unsupervised"" + 0.009*""data"" + 0.008*""only"" + 0.008*""framework"" + 0.007*""example"""
Topic 19,,"0.167*""set"" + 0.086*""attribute"" + 0.045*""cost"" + 0.031*""reduction"" + 0.029*""rough"" + 0.025*""entropy"" + 0.021*""soft"" + 0.015*""theory"" + 0.010*""neighborhood"" + 0.010*""table"" + 0.009*""approximation"" + 0.009*""sensitive"" + 0.009*""concept"" + 0.008*""paper"" + 0.008*""introduce"" + 0.008*""define"" + 0.008*""subset"" + 0.007*""algorithm"" + 0.007*""then"" + 0.007*""lattice"""
Topic 20,,"0.114*""video"" + 0.069*""temporal"" + 0.057*""event"" + 0.044*""frame"" + 0.034*""motion"" + 0.028*""action"" + 0.023*""sequence"" + 0.023*""modality"" + 0.023*""dynamic"" + 0.019*""spatial"" + 0.017*""visual"" + 0.013*""multimodal"" + 0.012*""modal"" + 0.012*""stream"" + 0.012*""audio"" + 0.011*""spatio_temporal"" + 0.009*""capture"" + 0.008*""spatiotemporal"" + 0.006*""sound"" + 0.006*""segment"""
Topic 21,,"0.050*""distribution"" + 0.027*""variable"" + 0.023*""inference"" + 0.022*""probability"" + 0.020*""probabilistic"" + 0.017*""bayesian"" + 0.017*""datum"" + 0.015*""estimate"" + 0.015*""latent"" + 0.015*""process"" + 0.014*""prior"" + 0.014*""parameter"" + 0.014*""method"" + 0.013*""estimation"" + 0.012*""sample"" + 0.012*""gaussian"" + 0.011*""density"" + 0.011*""mixture"" + 0.010*""generative"" + 0.010*""framework"""
Topic 22,,"0.081*""phase"" + 0.053*""parameter"" + 0.020*""water"" + 0.019*""temperature"" + 0.017*""formation"" + 0.015*""value"" + 0.015*""material"" + 0.013*""process"" + 0.012*""plant"" + 0.012*""quality"" + 0.009*""variable"" + 0.009*""study"" + 0.008*""concentration"" + 0.008*""cycle"" + 0.008*""input"" + 0.008*""reservoir"" + 0.008*""result"" + 0.008*""condition"" + 0.008*""artificial"" + 0.008*""determine"""
Topic 23,,"0.038*""product"" + 0.032*""service"" + 0.021*""customer"" + 0.019*""cost"" + 0.017*""production"" + 0.015*""demand"" + 0.015*""study"" + 0.013*""company"" + 0.012*""right_reserve"" + 0.012*""management"" + 0.011*""quality"" + 0.010*""decision"" + 0.010*""business"" + 0.009*""market"" + 0.009*""supply_chain"" + 0.008*""order"" + 0.008*""industry"" + 0.007*""level"" + 0.007*""consider"" + 0.007*""result"""
Topic 24,,"0.026*""research"" + 0.019*""application"" + 0.018*""technique"" + 0.013*""paper"" + 0.012*""study"" + 0.012*""field"" + 0.011*""system"" + 0.011*""provide"" + 0.010*""work"" + 0.010*""many"" + 0.010*""area"" + 0.008*""present"" + 0.008*""most"" + 0.008*""various"" + 0.007*""challenge"" + 0.007*""review"" + 0.007*""different"" + 0.007*""machine"" + 0.007*""literature"" + 0.006*""more"""
Topic 25,,"0.098*""recognition"" + 0.067*""face"" + 0.050*""view"" + 0.031*""human"" + 0.028*""pose"" + 0.016*""method"" + 0.016*""person"" + 0.016*""database"" + 0.014*""body"" + 0.014*""facial"" + 0.011*""different"" + 0.010*""recognize"" + 0.010*""hand"" + 0.010*""variation"" + 0.009*""part"" + 0.009*""dataset"" + 0.009*""paper"" + 0.009*""identification"" + 0.008*""multi"" + 0.007*""result"""
Topic 26,,"0.035*""pattern"" + 0.025*""human"" + 0.020*""behavior"" + 0.018*""brain"" + 0.013*""visual"" + 0.010*""study"" + 0.010*""mechanism"" + 0.010*""activity"" + 0.010*""right_reserve"" + 0.010*""interaction"" + 0.009*""cognitive"" + 0.008*""stimulus"" + 0.008*""dynamic"" + 0.008*""suggest"" + 0.008*""process"" + 0.007*""role"" + 0.007*""memory"" + 0.007*""change"" + 0.007*""input"" + 0.006*""perception"""
Topic 27,,"0.099*""domain"" + 0.064*""target"" + 0.036*""source"" + 0.034*""transfer"" + 0.021*""method"" + 0.020*""adaptation"" + 0.017*""cross"" + 0.016*""loss"" + 0.014*""distribution"" + 0.013*""datum"" + 0.013*""knowledge"" + 0.011*""learn"" + 0.011*""different"" + 0.010*""training"" + 0.008*""generator"" + 0.008*""sample"" + 0.008*""generate"" + 0.008*""style"" + 0.008*""dataset"" + 0.007*""train"""
Topic 28,,"0.104*""algorithm"" + 0.045*""search"" + 0.029*""problem"" + 0.019*""solution"" + 0.016*""heuristic"" + 0.015*""find"" + 0.013*""result"" + 0.011*""paper"" + 0.011*""optimal"" + 0.011*""number"" + 0.010*""new"" + 0.009*""scheduling"" + 0.009*""instance"" + 0.009*""present"" + 0.009*""set"" + 0.009*""method"" + 0.009*""space"" + 0.009*""good"" + 0.007*""compare"" + 0.007*""computational"""
Topic 29,,"0.033*""estimation"" + 0.031*""camera"" + 0.027*""image"" + 0.025*""method"" + 0.025*""depth"" + 0.023*""estimate"" + 0.022*""reconstruction"" + 0.022*""scene"" + 0.019*""motion"" + 0.012*""light"" + 0.011*""pose"" + 0.010*""view"" + 0.009*""single"" + 0.009*""real"" + 0.009*""result"" + 0.008*""present"" + 0.008*""calibration"" + 0.008*""recover"" + 0.008*""algorithm"" + 0.007*""stereo"""
Topic 30,,"0.053*""sensor"" + 0.041*""activity"" + 0.023*""system"" + 0.016*""datum"" + 0.015*""position"" + 0.015*""vehicle"" + 0.013*""device"" + 0.012*""environment"" + 0.011*""movement"" + 0.010*""eye"" + 0.009*""detect"" + 0.009*""damage"" + 0.009*""real"" + 0.009*""localization"" + 0.008*""monitor"" + 0.008*""monitoring"" + 0.008*""head"" + 0.008*""driver"" + 0.008*""drive"" + 0.007*""condition"""
Topic 31,,"0.059*""factor"" + 0.048*""risk"" + 0.025*""effect"" + 0.023*""influence"" + 0.021*""study"" + 0.015*""impact"" + 0.014*""age"" + 0.012*""affect"" + 0.011*""identify"" + 0.011*""spread"" + 0.011*""individual"" + 0.010*""covid"" + 0.009*""ad"" + 0.008*""level"" + 0.007*""cause"" + 0.007*""people"" + 0.007*""result"" + 0.006*""social"" + 0.006*""claim"" + 0.006*""country"""
Topic 32,,"0.137*""graph"" + 0.069*""node"" + 0.055*""network"" + 0.053*""structure"" + 0.039*""tree"" + 0.026*""edge"" + 0.019*""community"" + 0.014*""method"" + 0.012*""structural"" + 0.012*""link"" + 0.012*""topology"" + 0.009*""vertex"" + 0.008*""propagation"" + 0.008*""embed"" + 0.007*""algorithm"" + 0.007*""diffusion"" + 0.007*""topological"" + 0.006*""real_world"" + 0.006*""paper"" + 0.006*""construct"""
Topic 33,,"0.027*""high"" + 0.025*""large"" + 0.019*""computational"" + 0.019*""scale"" + 0.018*""method"" + 0.018*""reduce"" + 0.017*""accuracy"" + 0.016*""low"" + 0.015*""fast"" + 0.014*""cost"" + 0.014*""efficient"" + 0.012*""computation"" + 0.012*""complexity"" + 0.011*""memory"" + 0.011*""achieve"" + 0.011*""efficiency"" + 0.011*""speed"" + 0.010*""size"" + 0.009*""number"" + 0.009*""code"""
Topic 34,,"0.132*""noise"" + 0.114*""signal"" + 0.039*""component"" + 0.031*""mode"" + 0.029*""noisy"" + 0.014*""vary_delay"" + 0.012*""source"" + 0.011*""channel"" + 0.011*""denoising"" + 0.010*""separation"" + 0.009*""robust"" + 0.009*""spectrum"" + 0.009*""exponential_stability"" + 0.008*""ratio"" + 0.007*""independent"" + 0.007*""gaussian"" + 0.007*""right_reserve"" + 0.006*""input"" + 0.006*""remove"" + 0.006*""interference"""
Topic 35,,"0.070*""scheme"" + 0.051*""distribute"" + 0.040*""communication"" + 0.035*""datum"" + 0.026*""security"" + 0.019*""privacy"" + 0.016*""cloud"" + 0.016*""protocol"" + 0.015*""data"" + 0.013*""fingerprint"" + 0.012*""transmission"" + 0.011*""access"" + 0.010*""server"" + 0.009*""key"" + 0.008*""private"" + 0.008*""message"" + 0.008*""channel"" + 0.007*""mechanism"" + 0.007*""protect"" + 0.007*""mobile"""
Topic 36,,"0.055*""system"" + 0.031*""power"" + 0.022*""robot"" + 0.021*""energy"" + 0.018*""dynamic"" + 0.016*""environment"" + 0.015*""simulation"" + 0.012*""real"" + 0.011*""load"" + 0.011*""control"" + 0.011*""paper"" + 0.009*""present"" + 0.008*""result"" + 0.008*""change"" + 0.007*""operation"" + 0.007*""right_reserve"" + 0.006*""line"" + 0.005*""unit"" + 0.005*""test"" + 0.005*""generation"""
Topic 37,,"0.070*""control"" + 0.056*""system"" + 0.030*""controller"" + 0.022*""nonlinear"" + 0.022*""design"" + 0.018*""adaptive"" + 0.014*""state"" + 0.013*""dynamic"" + 0.012*""error"" + 0.012*""paper"" + 0.012*""simulation"" + 0.012*""method"" + 0.011*""function"" + 0.010*""scheme"" + 0.010*""effectiveness"" + 0.009*""stability"" + 0.009*""problem"" + 0.009*""feedback"" + 0.009*""result"" + 0.008*""parameter"""
Topic 38,,"0.035*""method"" + 0.032*""kernel"" + 0.025*""datum"" + 0.023*""dimensional"" + 0.023*""space"" + 0.019*""linear"" + 0.018*""regression"" + 0.016*""sparse"" + 0.016*""function"" + 0.014*""vector"" + 0.013*""subspace"" + 0.011*""high"" + 0.011*""manifold"" + 0.010*""algorithm"" + 0.010*""paper"" + 0.010*""regularization"" + 0.009*""projection"" + 0.009*""norm"" + 0.009*""dimension"" + 0.008*""problem"""
Topic 39,,"0.065*""text"" + 0.043*""document"" + 0.035*""topic"" + 0.024*""content"" + 0.023*""sentiment"" + 0.017*""word"" + 0.017*""web"" + 0.014*""method"" + 0.013*""extract"" + 0.013*""aspect"" + 0.012*""paper"" + 0.011*""tag"" + 0.011*""term"" + 0.010*""result"" + 0.009*""opinion"" + 0.009*""extraction"" + 0.008*""semantic"" + 0.008*""news"" + 0.008*""textual"" + 0.008*""social_medium"""
Topic 40,,"0.062*""datum"" + 0.058*""prediction"" + 0.034*""series"" + 0.019*""data"" + 0.018*""forecasting"" + 0.017*""mining"" + 0.013*""pattern"" + 0.013*""result"" + 0.012*""method"" + 0.010*""forecast"" + 0.009*""right_reserve"" + 0.008*""paper"" + 0.008*""algorithm"" + 0.008*""term"" + 0.008*""study"" + 0.008*""stream"" + 0.007*""predictive"" + 0.007*""accuracy"" + 0.006*""financial"" + 0.006*""compare"""
Topic 41,,"0.054*""algorithm"" + 0.047*""optimization"" + 0.027*""objective"" + 0.025*""problem"" + 0.017*""result"" + 0.017*""function"" + 0.014*""method"" + 0.014*""multi"" + 0.013*""solution"" + 0.011*""right_reserve"" + 0.011*""parameter"" + 0.011*""evolutionary"" + 0.011*""search"" + 0.010*""strategy"" + 0.010*""genetic"" + 0.010*""compare"" + 0.010*""paper"" + 0.009*""other"" + 0.009*""optimal"" + 0.009*""solve"""
Topic 42,,"0.083*""word"" + 0.071*""language"" + 0.040*""translation"" + 0.035*""speech"" + 0.025*""character"" + 0.018*""sign"" + 0.015*""system"" + 0.014*""sentence"" + 0.011*""machine"" + 0.011*""speaker"" + 0.010*""resource"" + 0.010*""recognition"" + 0.009*""corpus"" + 0.009*""result"" + 0.009*""paper"" + 0.009*""embedding"" + 0.008*""phrase"" + 0.008*""alignment"" + 0.007*""chinese"" + 0.007*""linguistic"""
Topic 43,,"0.047*""attack"" + 0.046*""robust"" + 0.044*""robustness"" + 0.034*""adversarial"" + 0.023*""example"" + 0.022*""perturbation"" + 0.019*""explanation"" + 0.013*""method"" + 0.011*""input"" + 0.011*""black_box"" + 0.009*""training"" + 0.008*""deep"" + 0.008*""work"" + 0.008*""more"" + 0.007*""defense"" + 0.007*""adversarial_attack"" + 0.007*""dnn"" + 0.007*""however"" + 0.006*""exist"" + 0.006*""vulnerability"""
Topic 44,,"0.047*""policy"" + 0.043*""state"" + 0.039*""action"" + 0.028*""reinforcement"" + 0.028*""learn"" + 0.021*""online"" + 0.021*""algorithm"" + 0.020*""reward"" + 0.019*""environment"" + 0.013*""planning"" + 0.011*""goal"" + 0.011*""transition"" + 0.010*""value"" + 0.010*""optimal"" + 0.010*""exploration"" + 0.010*""problem"" + 0.010*""plan"" + 0.009*""regret"" + 0.008*""method"" + 0.008*""function"""
Topic 45,,"0.137*""map"" + 0.069*""mapping"" + 0.067*""path"" + 0.064*""hierarchical"" + 0.062*""space"" + 0.037*""level"" + 0.026*""hierarchy"" + 0.024*""self_organize"" + 0.020*""visualization"" + 0.018*""structure"" + 0.018*""grid"" + 0.017*""building"" + 0.013*""granularity"" + 0.011*""granular"" + 0.010*""granule"" + 0.009*""generate"" + 0.009*""input"" + 0.009*""dimensional"" + 0.008*""form"" + 0.008*""high"""
Topic 46,,"0.046*""network"" + 0.030*""neural"" + 0.024*""delay"" + 0.021*""result"" + 0.020*""neuron"" + 0.019*""right_reserve"" + 0.016*""paper"" + 0.012*""numerical"" + 0.012*""stability"" + 0.011*""function"" + 0.011*""simulation"" + 0.011*""spike"" + 0.011*""obtain"" + 0.010*""synchronization"" + 0.010*""example"" + 0.009*""present"" + 0.008*""equation"" + 0.008*""give"" + 0.008*""condition"" + 0.008*""criterion"""
Topic 47,,"0.056*""semantic"" + 0.047*""relation"" + 0.043*""query"" + 0.042*""similarity"" + 0.034*""retrieval"" + 0.029*""entity"" + 0.023*""question"" + 0.021*""embed"" + 0.019*""answer"" + 0.018*""knowledge"" + 0.015*""pair"" + 0.015*""method"" + 0.015*""embedding"" + 0.009*""exist"" + 0.009*""relationship"" + 0.008*""relational"" + 0.008*""result"" + 0.007*""type"" + 0.007*""dataset"" + 0.007*""paper"""
Topic 48,,"0.050*""rule"" + 0.048*""knowledge"" + 0.022*""system"" + 0.019*""concept"" + 0.018*""reasoning"" + 0.014*""paper"" + 0.011*""present"" + 0.011*""case"" + 0.011*""ontology"" + 0.010*""domain"" + 0.008*""describe"" + 0.008*""new"" + 0.008*""description"" + 0.007*""provide"" + 0.007*""represent"" + 0.007*""logic"" + 0.007*""program"" + 0.007*""order"" + 0.006*""form"" + 0.006*""define"""
Topic 49,,"0.055*""system"" + 0.028*""design"" + 0.026*""process"" + 0.014*""expert"" + 0.014*""knowledge"" + 0.013*""software"" + 0.012*""support"" + 0.012*""paper"" + 0.012*""tool"" + 0.010*""provide"" + 0.010*""project"" + 0.010*""development"" + 0.010*""present"" + 0.009*""right_reserve"" + 0.008*""application"" + 0.008*""student"" + 0.007*""technology"" + 0.007*""framework"" + 0.007*""intelligent"" + 0.006*""implement"""
Topic 50,,"0.146*""filter"" + 0.074*""fault"" + 0.060*""measurement"" + 0.038*""failure"" + 0.030*""filtering"" + 0.028*""process"" + 0.027*""reliability"" + 0.021*""particle"" + 0.021*""fault_diagnosis"" + 0.016*""gas"" + 0.015*""condition"" + 0.015*""monitoring"" + 0.014*""circuit"" + 0.013*""detection"" + 0.013*""industrial"" + 0.011*""degradation"" + 0.011*""maintenance"" + 0.007*""repair"" + 0.007*""bank"" + 0.007*""pc"""
Topic 51,,"0.246*""image"" + 0.048*""segmentation"" + 0.026*""region"" + 0.025*""method"" + 0.017*""color"" + 0.014*""result"" + 0.014*""pixel"" + 0.013*""texture"" + 0.013*""visual"" + 0.010*""segment"" + 0.009*""quality"" + 0.009*""paper"" + 0.009*""patch"" + 0.008*""spatial"" + 0.008*""level"" + 0.007*""resolution"" + 0.006*""high"" + 0.006*""edge"" + 0.006*""local"" + 0.005*""present"""
Topic 52,,"0.114*""agent"" + 0.041*""game"" + 0.030*""multi"" + 0.024*""strategy"" + 0.020*""consensus"" + 0.017*""mechanism"" + 0.014*""player"" + 0.012*""cooperative"" + 0.010*""allocation"" + 0.009*""equilibrium"" + 0.008*""fairness"" + 0.008*""distribute"" + 0.008*""other"" + 0.008*""team"" + 0.007*""resource"" + 0.007*""paper"" + 0.007*""communication"" + 0.006*""coordination"" + 0.006*""utility"" + 0.006*""behavior"""
Topic 53,,"0.116*""object"" + 0.074*""detection"" + 0.022*""tracking"" + 0.018*""detect"" + 0.016*""scene"" + 0.016*""method"" + 0.015*""detector"" + 0.013*""visual"" + 0.013*""track"" + 0.011*""saliency"" + 0.010*""target"" + 0.010*""background"" + 0.010*""appearance"" + 0.008*""region"" + 0.008*""dataset"" + 0.008*""part"" + 0.008*""localization"" + 0.008*""result"" + 0.008*""state_art"" + 0.007*""paper"""
Topic 54,,"0.027*""function"" + 0.014*""error"" + 0.014*""bound"" + 0.014*""algorithm"" + 0.012*""number"" + 0.012*""result"" + 0.012*""case"" + 0.011*""give"" + 0.011*""approximation"" + 0.011*""sample"" + 0.011*""provide"" + 0.010*""study"" + 0.009*""theoretical"" + 0.009*""optimal"" + 0.008*""problem"" + 0.008*""complexity"" + 0.008*""setting"" + 0.008*""property"" + 0.008*""estimator"" + 0.007*""guarantee"""
Topic 55,,"0.057*""patient"" + 0.054*""medical"" + 0.052*""diagnosis"" + 0.049*""disease"" + 0.029*""treatment"" + 0.027*""clinical"" + 0.023*""defect"" + 0.017*""diagnostic"" + 0.014*""health"" + 0.011*""inspection"" + 0.011*""diagnose"" + 0.011*""record"" + 0.009*""hospital"" + 0.009*""outcome"" + 0.009*""healthcare"" + 0.009*""music"" + 0.008*""early"" + 0.008*""malware"" + 0.008*""symptom"" + 0.008*""drug"""
